2020-03-21,1
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,5
2020-03-26,12
2020-03-27,12
2020-03-28,12
2020-03-29,12
2020-03-30,13
2020-03-31,13
2020-04-01,13
2020-04-02,14
2020-04-03,15
2020-04-04,18
2020-04-05,19
2020-04-06,19
2020-04-07,20
2020-04-08,24
2020-04-09,25
2020-04-10,29
2020-04-11,34
2020-04-12,43
2020-04-13,42
2020-04-14,43
2020-04-15,46
2020-04-16,49
2020-04-17,52
2020-04-18,55
2020-04-19,56
2020-04-20,58
2020-04-21,59
2020-04-22,65
2020-04-23,75
2020-04-24,81
2020-04-25,83
2020-04-26,87
2020-04-27,87
2020-04-28,103
2020-04-29,103
2020-04-30,106
2020-05-01,108
2020-05-02,117
2020-05-03,120
2020-05-04,121
2020-05-05,121
2020-05-06,120
2020-05-07,120
2020-05-08,120
2020-05-09,125
2020-05-10,126
2020-05-11,127
2020-05-12,127
2020-05-13,127
2020-05-14,127
2020-05-15,127
2020-05-16,128
2020-05-17,131
2020-05-18,134
2020-05-19,134
2020-05-20,135
2020-05-21,136
2020-05-22,138
2020-05-23,139
2020-05-24,140
2020-05-25,143
2020-05-26,144
2020-05-27,144
2020-05-28,149
2020-05-29,149
2020-05-30,150
2020-05-31,152
2020-06-01,153
2020-06-02,154
2020-06-03,154
2020-06-04,165
2020-06-05,172
2020-06-06,173
2020-06-07,173
2020-06-08,174
2020-06-09,175
2020-06-10,176
2020-06-11,181
2020-06-12,183
2020-06-13,185
2020-06-14,190
2020-06-15,191
2020-06-16,198
2020-06-17,205
