date,cases,deaths
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,3,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,3,0
2020-03-10,4,0
2020-03-11,5,0
2020-03-12,7,0
2020-03-13,7,0
2020-03-14,21,0
2020-03-15,29,0
2020-03-16,40,0
2020-03-17,51,0
2020-03-18,65,0
2020-03-19,80,0
2020-03-20,112,0
2020-03-21,138,0
2020-03-22,182,1
2020-03-23,257,1
2020-03-24,298,1
2020-03-25,346,1
2020-03-26,402,1
2020-03-27,480,2
2020-03-28,608,2
2020-03-29,719,2
2020-03-30,806,4
