date,cases,deaths
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,3,0
2020-03-06,8,0
2020-03-07,13,0
2020-03-08,28,0
2020-03-09,41,0
2020-03-10,92,0
2020-03-11,95,0
2020-03-12,108,0
2020-03-13,123,0
2020-03-14,138,0
2020-03-15,164,0
2020-03-16,197,0
2020-03-17,218,0
2020-03-18,256,0
2020-03-19,328,0
2020-03-20,413,1
2020-03-21,525,2
2020-03-22,646,5
2020-03-23,777,5
2020-03-24,1159,11
2020-03-25,1838,15
2020-03-26,2417,25
2020-03-27,3240,35
2020-03-28,4257,44
2020-03-29,4955,48
2020-03-30,5752,61
