date,cases,deaths
2020-03-07,1,0
2020-03-08,2,0
2020-03-09,5,0
2020-03-10,8,0
2020-03-11,10,0
2020-03-12,17,0
2020-03-13,30,0
2020-03-14,42,1
2020-03-15,45,1
2020-03-16,51,1
2020-03-17,67,2
2020-03-17,1,0
2020-03-18,78,2
2020-03-18,2,0
2020-03-19,94,2
2020-03-19,5,0
2020-03-20,115,2
2020-03-20,8,0
2020-03-21,152,3
2020-03-21,12,0
2020-03-22,219,6
2020-03-22,16,0
2020-03-23,254,6
2020-03-23,16,0
2020-03-24,290,7
2020-03-24,39,0
2020-03-25,391,9
2020-03-25,51,0
2020-03-26,604,14
2020-03-26,76,0
2020-03-27,606,14
2020-03-27,96,0
2020-03-28,740,17
2020-03-28,113,0
2020-03-29,890,22
2020-03-29,124,1
2020-03-30,1021,26
2020-03-30,145,1
