date,cases,deaths
2020-02-12,1,0
2020-02-13,2,0
2020-02-14,2,0
2020-02-15,2,0
2020-02-16,2,0
2020-02-17,2,0
2020-02-18,2,0
2020-02-19,2,0
2020-02-20,2,0
2020-02-21,4,0
2020-02-22,4,0
2020-02-23,4,0
2020-02-24,10,0
2020-02-25,10,0
2020-02-26,10,0
2020-02-27,10,0
2020-02-28,11,0
2020-02-29,11,0
2020-03-01,11,0
2020-03-02,11,0
2020-03-03,11,0
2020-03-04,12,0
2020-03-05,16,0
2020-03-06,19,0
2020-03-07,19,0
2020-03-08,23,0
2020-03-09,24,0
2020-03-10,31,0
2020-03-11,33,0
2020-03-12,41,0
2020-03-13,58,0
2020-03-14,69,0
2020-03-15,80,0
2020-03-16,87,1
2020-03-17,106,1
2020-03-18,166,2
2020-03-19,248,4
2020-03-20,377,5
2020-03-21,547,5
2020-03-22,632,7
2020-03-23,728,7
2020-03-24,857,11
2020-03-25,1119,12
2020-03-26,1543,21
2020-03-27,1942,23
2020-03-28,2161,29
2020-03-29,2712,35
2020-03-30,3043,46
