date,cases,deaths
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,2,0
2020-03-10,3,0
2020-03-11,6,0
2020-03-12,8,0
2020-03-13,19,0
2020-03-14,27,0
2020-03-15,33,0
2020-03-16,47,0
2020-03-17,72,0
2020-03-18,106,0
2020-03-19,155,2
2020-03-20,216,3
2020-03-21,281,4
2020-03-22,382,4
2020-03-23,418,5
2020-03-24,481,5
2020-03-25,623,7
2020-03-26,754,10
2020-03-27,930,16
2020-03-28,1042,17
2020-03-29,1120,17
2020-03-30,1267,20
